Name
Microsoft Power BI
Statistics
Data Science
Data Analysis
Pandas 
Microsoft Excel
HTML
Cascading Style Sheets (CSS)
JavaScript
User Interface Design
Bootstrap
Figma (Software)
SQL
Vue.js
Vuetify
W3CSS
