Date,Type,Link
2022-07-21 14:39:54,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6955812133502676992
2022-07-21 14:38:28,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955738997360918528
2022-07-20 20:09:36,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955484962271707136
2022-07-19 18:11:23,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6953389622374612992
2022-07-11 03:34:37,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6951905206469042176
2022-07-08 17:33:15,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6950669331407986688
2022-07-04 19:08:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6949764635956776960
2022-07-04 12:15:57,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6949654299555545088
2022-07-01 15:16:15,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948281684039475200
2022-06-28 11:10:15,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6947469210230943744
2022-06-27 16:30:42,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6947126386314604544
2022-06-21 15:24:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6944656266019385344
2022-06-20 07:35:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6944290333195149312
2022-06-17 13:29:08,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6943528025854464001
2022-06-14 03:31:49,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6941432080731897856
2022-06-11 07:00:45,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6939845813384671232
2022-05-31 08:29:38,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6937274250332360704
2022-05-27 14:02:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A7280909909351621598
2022-05-25 04:16:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934750894265618432
2022-05-17 19:04:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6931847879653224449
2022-05-16 06:29:55,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6931482328804315136
2022-05-13 17:05:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6930894496230486016
2022-03-25 06:14:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912120616850464768
2022-03-17 06:25:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6907695052848549888
2022-03-12 18:40:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6908079161852747776
